hhid,eligible_members,formal_savers,informal_savers,savings_responses,savings_answered,savings_target,bank_access_count,mobile_money_access_count,assisted_banking_count,any_bank_access,any_mobile_money_access,any_assisted_banking,household_size,members_with_age,head_indiv,head_sex_code,head_age,state_code,lga_code,zone_code,urban_rural_code,state_name,working_age_members,members_any_work,members_income_activity,members_helped_income_activity,reported_main_job_earnings,total_reported_main_job_earnings,employment_rate,digital_age10_members,mobile_access_count,internet_access_count,any_mobile_access,any_internet_access,asset_items_listed,asset_types_owned,total_units_owned,total_current_asset_value,income_source_types_listed,income_source_types_received,total_reported_income_sources
59138,2,0,0,2,2,0,0,0,0,0,0,0,8.0,8.0,1.0,1.0,40.0,2.0,215.0,2.0,2.0,Adamawa,7,4,0,0,1,0.0,0.5714285714285714,5,4,0,1,0,42,5,9.0,85800.0,7,1,16000.0
59140,2,0,0,2,2,0,1,1,2,1,1,1,7.0,7.0,1.0,1.0,46.0,5.0,514.0,2.0,2.0,Bauchi,6,6,0,0,6,99000.0,1.0,5,5,1,1,1,42,8,13.0,184000.0,7,2,180000.0
59142,4,1,1,4,4,1,1,1,1,1,1,1,7.0,7.0,1.0,1.0,54.0,5.0,514.0,2.0,2.0,Bauchi,7,3,0,0,3,47000.0,0.42857142857142855,6,5,1,1,1,42,11,35.0,261500.0,7,0,0.0
59143,3,1,0,3,3,1,1,0,3,1,0,1,9.0,9.0,1.0,1.0,56.0,5.0,514.0,2.0,2.0,Bauchi,8,8,0,0,8,110500.0,1.0,5,5,0,1,0,42,4,9.0,61500.0,7,1,120000.0
59144,8,0,0,8,8,0,0,0,0,0,0,0,10.0,10.0,1.0,1.0,41.0,5.0,514.0,2.0,2.0,Bauchi,10,5,0,0,5,85000.0,0.5,9,9,0,1,0,42,6,21.0,36500.0,7,0,0.0
59145,11,0,0,11,11,0,6,3,11,1,1,1,14.0,14.0,1.0,1.0,58.0,5.0,516.0,2.0,2.0,Bauchi,14,14,0,0,14,178900.0,1.0,13,13,4,1,1,42,7,19.0,181500.0,7,1,240000.0
59147,2,0,0,2,2,0,0,0,0,0,0,0,7.0,7.0,1.0,1.0,35.0,5.0,516.0,2.0,2.0,Bauchi,6,1,0,0,0,0.0,0.16666666666666666,4,4,0,1,0,42,4,8.0,57500.0,7,0,0.0
59148,2,0,0,2,2,0,0,0,0,0,0,0,4.0,4.0,1.0,1.0,34.0,5.0,516.0,2.0,2.0,Bauchi,4,1,0,0,1,40000.0,0.25,2,2,0,1,0,42,6,13.0,42000.0,7,0,0.0
59149,11,0,0,11,11,0,6,0,11,1,0,1,17.0,17.0,101.0,1.0,31.0,5.0,516.0,2.0,2.0,Bauchi,16,16,0,0,16,508500.0,1.0,12,12,0,1,0,42,5,23.0,88700.0,7,1,200000.0
59150,4,0,0,4,4,0,0,0,0,0,0,0,8.0,8.0,1.0,1.0,52.0,5.0,516.0,2.0,2.0,Bauchi,7,4,0,0,4,98000.0,0.5714285714285714,5,5,0,1,0,42,4,12.0,46000.0,7,0,0.0
59151,6,0,0,6,6,0,0,0,0,0,0,0,10.0,10.0,1.0,1.0,44.0,5.0,516.0,2.0,2.0,Bauchi,8,3,0,0,3,73000.0,0.375,7,7,0,1,0,42,5,17.0,36000.0,7,0,0.0
59153,9,0,0,9,9,0,0,0,0,0,0,0,13.0,13.0,1.0,1.0,72.0,5.0,516.0,2.0,2.0,Bauchi,12,6,0,0,1,300000.0,0.5,11,11,0,1,0,42,4,19.0,130500.0,7,0,0.0
59154,2,0,0,2,2,0,0,0,0,0,0,0,4.0,4.0,1.0,1.0,31.0,5.0,516.0,2.0,2.0,Bauchi,4,1,0,0,1,300000.0,0.25,2,1,1,1,1,42,4,8.0,353000.0,7,0,0.0
59155,7,1,0,7,7,1,5,0,7,1,0,1,9.0,9.0,2.0,2.0,64.0,5.0,516.0,2.0,2.0,Bauchi,9,9,0,0,9,338500.0,1.0,7,7,0,1,0,42,6,18.0,177000.0,7,1,500000.0
59156,2,0,0,2,2,0,0,0,0,0,0,0,5.0,5.0,1.0,1.0,44.0,5.0,516.0,2.0,2.0,Bauchi,4,1,0,0,1,50000.0,0.25,4,4,0,1,0,42,4,8.0,40000.0,7,0,0.0
59157,2,0,2,2,2,1,0,1,2,0,1,1,7.0,7.0,1.0,1.0,56.0,5.0,517.0,2.0,2.0,Bauchi,4,1,1,0,2,4900.0,0.25,4,3,1,1,1,42,7,15.0,333550.0,7,0,0.0
59158,2,1,0,2,2,1,1,2,2,1,1,1,5.0,5.0,1.0,1.0,39.0,5.0,517.0,2.0,2.0,Bauchi,5,1,0,0,1,130000.0,0.2,4,4,3,1,1,42,13,15.0,203300.0,7,0,0.0
59159,3,1,2,3,3,1,1,1,1,1,1,1,9.0,9.0,1.0,1.0,36.0,5.0,517.0,2.0,2.0,Bauchi,6,4,0,0,4,903200.0,0.6666666666666666,5,4,1,1,1,42,10,31.0,295000.0,7,1,7000.0
